locus_tag	ftype	length_bp	gene	EC_number	COG	product
LNBKKNJO_01425	CDS	972	sigB		COG0568	RNA polymerase sigma factor SigB
LNBKKNJO_01426	CDS	411				hypothetical protein
LNBKKNJO_01427	CDS	249				hypothetical protein
LNBKKNJO_01428	CDS	975				hypothetical protein
LNBKKNJO_01429	CDS	186				hypothetical protein
LNBKKNJO_01430	CDS	342	rutC	1.-.-.-		Putative aminoacrylate peracid reductase RutC
LNBKKNJO_01431	CDS	468				PE-PGRS family protein PE_PGRS26
LNBKKNJO_01432	CDS	1530	sigA		COG0568	RNA polymerase sigma factor SigA
LNBKKNJO_01433	CDS	795	ppgK	2.7.1.63	COG1940	Polyphosphate glucokinase
LNBKKNJO_01434	CDS	834	suhB	3.1.3.25	COG0483	Inositol-1-monophosphatase SuhB
LNBKKNJO_01435	CDS	654				hypothetical protein
LNBKKNJO_01436	CDS	303				hypothetical protein
LNBKKNJO_01437	CDS	405				hypothetical protein
LNBKKNJO_01438	CDS	465	dut	3.6.1.23	COG0756	Deoxyuridine 5'-triphosphate nucleotidohydrolase
LNBKKNJO_01439	CDS	753				hypothetical protein
LNBKKNJO_01440	CDS	720				hypothetical protein
LNBKKNJO_01441	CDS	369				hypothetical protein
LNBKKNJO_01442	CDS	672				hypothetical protein
LNBKKNJO_01443	CDS	663	trkA_1		COG0569	Trk system potassium uptake protein TrkA
LNBKKNJO_01444	CDS	669	trkA_2		COG0569	Trk system potassium uptake protein TrkA
LNBKKNJO_01445	CDS	1998	kimA		COG0531	Potassium transporter KimA
LNBKKNJO_01446	CDS	1206		2.1.1.-	COG2265	putative RNA methyltransferase
LNBKKNJO_01447	CDS	231		3.6.3.-	COG1131	Fluoroquinolones export ATP-binding protein
LNBKKNJO_01448	CDS	621		3.6.3.-	COG1131	Fluoroquinolones export ATP-binding protein
LNBKKNJO_01449	CDS	711				Fluoroquinolones export permease protein
LNBKKNJO_01450	CDS	765				Fluoroquinolones export permease protein
LNBKKNJO_01451	CDS	1287			COG1055	putative transporter
LNBKKNJO_01452	CDS	1290			COG1055	putative transporter
LNBKKNJO_01453	CDS	495				hypothetical protein
LNBKKNJO_01454	CDS	1914	dxs_1	2.2.1.7	COG1154	1-deoxy-D-xylulose-5-phosphate synthase
LNBKKNJO_01455	CDS	1374				hypothetical protein
LNBKKNJO_01456	CDS	1527	rssB_2			Regulator of RpoS
LNBKKNJO_01457	CDS	315				hypothetical protein
LNBKKNJO_01458	CDS	225				hypothetical protein
LNBKKNJO_01459	CDS	1344	mce3R_1			Transcriptional repressor Mce3R
LNBKKNJO_01460	CDS	636				hypothetical protein
LNBKKNJO_01461	CDS	828	thiD	2.7.1.49	COG0351	Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase
LNBKKNJO_01462	CDS	1641	thiC	4.1.99.17	COG0422	Phosphomethylpyrimidine synthase
LNBKKNJO_01463	CDS	723				hypothetical protein
LNBKKNJO_01464	CDS	396				hypothetical protein
LNBKKNJO_01465	CDS	1674	spoIIAB	2.7.11.1		Anti-sigma F factor
LNBKKNJO_01466	CDS	279				hypothetical protein
LNBKKNJO_01467	CDS	4614	ctpI_2	3.6.3.-	COG0474	putative cation-transporting ATPase I
LNBKKNJO_01468	CDS	447				hypothetical protein
LNBKKNJO_01469	CDS	831	xthA	3.1.11.2	COG0708	Exodeoxyribonuclease III
LNBKKNJO_01470	CDS	897				hypothetical protein
LNBKKNJO_01471	CDS	594	def	3.5.1.88	COG0242	Peptide deformylase
LNBKKNJO_01472	CDS	309				hypothetical protein
LNBKKNJO_01473	CDS	483				hypothetical protein
LNBKKNJO_01474	CDS	717	sodC	1.15.1.1	COG2032	Superoxide dismutase [Cu-Zn]
LNBKKNJO_01475	CDS	1176		6.3.2.2	COG2170	Putative glutamate--cysteine ligase 2
LNBKKNJO_01476	CDS	672	lutR		COG2186	HTH-type transcriptional regulator LutR
LNBKKNJO_01477	CDS	681	nimT		COG2807	2-nitroimidazole transporter
LNBKKNJO_01478	CDS	621	yycB		COG2807	putative transporter YycB
LNBKKNJO_01479	CDS	654				hypothetical protein
LNBKKNJO_01480	CDS	2196	ftsH_2	3.4.24.-		ATP-dependent zinc metalloprotease FtsH
LNBKKNJO_01481	CDS	876				hypothetical protein
LNBKKNJO_01482	CDS	723	psd	4.1.1.65	COG0688	Phosphatidylserine decarboxylase proenzyme
LNBKKNJO_01483	CDS	774				hypothetical protein
LNBKKNJO_01484	CDS	843				hypothetical protein
LNBKKNJO_01485	CDS	153				hypothetical protein
LNBKKNJO_01486	tRNA	74				tRNA-Ala(ggc)
LNBKKNJO_01487	CDS	1632	pgm	5.4.2.2	COG0033	Phosphoglucomutase
LNBKKNJO_01488	CDS	396	crcB1		COG0239	Putative fluoride ion transporter CrcB 1
LNBKKNJO_01489	CDS	375	crcB			Putative fluoride ion transporter CrcB
LNBKKNJO_01490	CDS	813				hypothetical protein
LNBKKNJO_01491	CDS	294				hypothetical protein
LNBKKNJO_01492	CDS	630	mbtK	2.3.1.-	COG1670	Lysine N-acyltransferase MbtK
LNBKKNJO_01493	CDS	876			COG2141	putative protein
LNBKKNJO_01494	CDS	354				hypothetical protein
LNBKKNJO_01495	CDS	999				hypothetical protein
LNBKKNJO_01496	CDS	918				hypothetical protein
LNBKKNJO_01497	CDS	1278				hypothetical protein
LNBKKNJO_01498	CDS	1818				hypothetical protein
LNBKKNJO_01499	CDS	1089				hypothetical protein
LNBKKNJO_01500	CDS	216				hypothetical protein
LNBKKNJO_01501	CDS	369				hypothetical protein
LNBKKNJO_01502	CDS	1431				hypothetical protein
LNBKKNJO_01503	CDS	420				hypothetical protein
LNBKKNJO_01504	CDS	1812				hypothetical protein
LNBKKNJO_01505	CDS	387				hypothetical protein
LNBKKNJO_01506	CDS	828			COG2141	putative protein
LNBKKNJO_01507	CDS	252				hypothetical protein
LNBKKNJO_01508	CDS	1464	selO	2.7.7.-	COG0397	Protein adenylyltransferase SelO
LNBKKNJO_01509	CDS	891				hypothetical protein
LNBKKNJO_01510	CDS	1692				hypothetical protein
LNBKKNJO_01511	CDS	645				hypothetical protein
LNBKKNJO_01512	CDS	768				hypothetical protein
LNBKKNJO_01513	CDS	804	fabG_2	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
LNBKKNJO_01514	CDS	918	yedI		COG2354	Inner membrane protein YedI
LNBKKNJO_01515	CDS	168				hypothetical protein
LNBKKNJO_01516	CDS	2700	polA	2.7.7.7	COG0258	DNA polymerase I
LNBKKNJO_01517	CDS	168				hypothetical protein
LNBKKNJO_01518	CDS	1446	rpsA		COG0539	30S ribosomal protein S1
LNBKKNJO_01519	CDS	1227	coaE	2.7.1.24	COG0237	Dephospho-CoA kinase
LNBKKNJO_01520	CDS	537				hypothetical protein
LNBKKNJO_01521	CDS	477				hypothetical protein
LNBKKNJO_01522	CDS	2181	uvrB		COG0556	UvrABC system protein B
LNBKKNJO_01523	CDS	1377				putative multidrug-efflux transporter
LNBKKNJO_01524	CDS	1569				hypothetical protein
LNBKKNJO_01525	CDS	441			COG0589	Universal stress protein
LNBKKNJO_01526	CDS	393				hypothetical protein
LNBKKNJO_01527	CDS	753	gloB_2	3.1.2.6		Hydroxyacylglutathione hydrolase
LNBKKNJO_01528	CDS	2916	uvrA		COG0178	UvrABC system protein A
LNBKKNJO_01529	CDS	780				hypothetical protein
LNBKKNJO_01530	CDS	786	pknH_1	2.7.11.1	COG0515	Serine/threonine-protein kinase PknH
LNBKKNJO_01531	CDS	255			COG1842	35 kDa protein
LNBKKNJO_01532	CDS	1446				hypothetical protein
LNBKKNJO_01533	CDS	3318	lysX_2		COG1190	Lysylphosphatidylglycerol biosynthesis bifunctional protein LysX
LNBKKNJO_01534	CDS	495	infC		COG0290	Translation initiation factor IF-3
LNBKKNJO_01535	CDS	195	rpmI		COG0291	50S ribosomal protein L35
LNBKKNJO_01536	CDS	390	rplT		COG0292	50S ribosomal protein L20
LNBKKNJO_01537	CDS	828	trmH_1	2.1.1.34		tRNA (guanosine(18)-2'-O)-methyltransferase
LNBKKNJO_01538	CDS	1041				hypothetical protein
LNBKKNJO_01539	CDS	186				hypothetical protein
LNBKKNJO_01540	CDS	480	bfr	1.16.3.1	COG2193	Bacterioferritin
LNBKKNJO_01541	CDS	240				hypothetical protein
LNBKKNJO_01542	CDS	177				hypothetical protein
LNBKKNJO_01543	CDS	759	crt_1	4.2.1.150	COG1024	Short-chain-enoyl-CoA hydratase
LNBKKNJO_01544	CDS	444				hypothetical protein
LNBKKNJO_01545	CDS	714				hypothetical protein
LNBKKNJO_01546	CDS	960	oxyR_1			putative hydrogen peroxide-inducible genes activator
LNBKKNJO_01547	CDS	588	ahpC	1.11.1.15	COG0450	Alkyl hydroperoxide reductase C
LNBKKNJO_01548	CDS	552	ahpD	1.11.1.15	COG2128	Alkyl hydroperoxide reductase AhpD
LNBKKNJO_01549	CDS	1308	nplT	3.2.1.135		Neopullulanase
LNBKKNJO_01550	CDS	1245	lldD	1.1.-.-	COG1304	Putative L-lactate dehydrogenase
LNBKKNJO_01551	CDS	300	lon_1	3.4.21.53	COG0466	Lon protease
LNBKKNJO_01552	CDS	1086	lon_2	3.4.21.53	COG0466	Lon protease
LNBKKNJO_01553	CDS	300	lon_3	3.4.21.53	COG0466	Lon protease
LNBKKNJO_01554	CDS	348				hypothetical protein
LNBKKNJO_01555	CDS	333				hypothetical protein
LNBKKNJO_01556	CDS	447				hypothetical protein
LNBKKNJO_01557	CDS	2151			COG0574	putative protein
LNBKKNJO_01558	CDS	1485				hypothetical protein
LNBKKNJO_01559	CDS	645		2.8.3.-	COG1804	putative CoA-transferase
LNBKKNJO_01560	CDS	339		2.8.3.-	COG1804	putative CoA-transferase
LNBKKNJO_01561	CDS	1365		2.8.3.-	COG1804	putative CoA-transferase
LNBKKNJO_01562	CDS	510				hypothetical protein
LNBKKNJO_01563	CDS	858	ephD_3	1.-.-.-	COG1028	putative oxidoreductase EphD
LNBKKNJO_01564	CDS	2403	xpkA	4.1.2.9		Xylulose-5-phosphate phosphoketolase
LNBKKNJO_01565	CDS	666				hypothetical protein
LNBKKNJO_01566	CDS	375				hypothetical protein
LNBKKNJO_01567	CDS	1002	adhA	1.1.1.1	COG1064	putative alcohol dehydrogenase AdhA
LNBKKNJO_01568	CDS	297				hypothetical protein
LNBKKNJO_01569	CDS	927	apa			Alanine and proline-rich secreted protein Apa
LNBKKNJO_01570	CDS	1242	modC	7.3.2.5	COG1118	Molybdenum import ATP-binding protein ModC
LNBKKNJO_01571	CDS	186				hypothetical protein
LNBKKNJO_01572	CDS	450				hypothetical protein
LNBKKNJO_01573	CDS	720	pknI	2.7.11.1		Serine/threonine-protein kinase PknI
LNBKKNJO_01574	CDS	1794			COG3653	putative protein
LNBKKNJO_01575	CDS	603				putative HTH-type transcriptional regulator
LNBKKNJO_01576	CDS	873	dacB	3.4.16.4	COG1686	D-alanyl-D-alanine carboxypeptidase DacB
LNBKKNJO_01577	CDS	420				putative protein
LNBKKNJO_01578	CDS	486				hypothetical protein
LNBKKNJO_01579	CDS	243				hypothetical protein
LNBKKNJO_01580	CDS	525	rimM		COG0806	Ribosome maturation factor RimM
LNBKKNJO_01581	CDS	693	trmD	2.1.1.228	COG0336	tRNA (guanine-N(1)-)-methyltransferase
LNBKKNJO_01582	CDS	960	lppW			Putative lipoprotein LppW
LNBKKNJO_01583	CDS	342	rplS		COG0335	50S ribosomal protein L19
LNBKKNJO_01584	CDS	864	lepB	3.4.21.89	COG0681	Signal peptidase I
LNBKKNJO_01585	CDS	780	rnhB	3.1.26.4	COG0164	Ribonuclease HII
LNBKKNJO_01586	CDS	306				putative protein
LNBKKNJO_01587	CDS	393				hypothetical protein
LNBKKNJO_01588	CDS	102				hypothetical protein
LNBKKNJO_01589	CDS	1359	tgs2_2	2.3.1.20		putative diacyglycerol O-acyltransferase tgs2
LNBKKNJO_01590	CDS	981				hypothetical protein
LNBKKNJO_01591	CDS	897	fdhD		COG1526	Sulfur carrier protein FdhD
LNBKKNJO_01592	CDS	369				hypothetical protein
LNBKKNJO_01593	CDS	1512	comM		COG0606	Competence protein ComM
LNBKKNJO_01594	CDS	1176	dprA		COG0758	Putative DNA processing protein DprA
LNBKKNJO_01595	CDS	849			COG2375	putative protein
LNBKKNJO_01596	CDS	1161		1.13.12.4	COG1304	Lactate 2-monooxygenase
LNBKKNJO_01597	CDS	909	xerC		COG0582	Tyrosine recombinase XerC
LNBKKNJO_01598	CDS	507				hypothetical protein
LNBKKNJO_01599	CDS	831	rpsB		COG0052	30S ribosomal protein S2
LNBKKNJO_01600	CDS	816	tsf		COG0264	Elongation factor Ts
LNBKKNJO_01601	CDS	1419	amiC_2	3.5.1.4	COG0154	Putative amidase AmiC
LNBKKNJO_01602	CDS	420			COG1846	putative HTH-type transcriptional regulator
LNBKKNJO_01603	CDS	483				Immunogenic protein MPT63
LNBKKNJO_01604	CDS	861			COG0204	putative protein
LNBKKNJO_01605	CDS	618				hypothetical protein
LNBKKNJO_01606	CDS	618				hypothetical protein
LNBKKNJO_01607	CDS	756				hypothetical protein
LNBKKNJO_01608	CDS	753				hypothetical protein
LNBKKNJO_01609	CDS	309				hypothetical protein
LNBKKNJO_01610	CDS	441	PPE2_2		COG5651	putative PPE family protein PPE2
LNBKKNJO_01611	CDS	339				hypothetical protein
LNBKKNJO_01612	CDS	252				hypothetical protein
LNBKKNJO_01613	CDS	201				putative PPE family protein PPE47/PPE48
LNBKKNJO_01614	CDS	1215				putative PPE family protein PPE47/PPE48
LNBKKNJO_01615	CDS	306	PE5_3			PE family immunomodulator PE5
LNBKKNJO_01616	CDS	1287				hypothetical protein
LNBKKNJO_01617	CDS	294	esxG_2			ESAT-6-like protein EsxG
LNBKKNJO_01618	CDS	291	esxR_2		COG4842	ESAT-6-like protein EsxR
LNBKKNJO_01619	CDS	525				hypothetical protein
LNBKKNJO_01620	CDS	165				hypothetical protein
LNBKKNJO_01621	CDS	1068				hypothetical protein
LNBKKNJO_01622	CDS	219				hypothetical protein
LNBKKNJO_01623	CDS	210				hypothetical protein
LNBKKNJO_01624	CDS	267				hypothetical protein
LNBKKNJO_01625	CDS	885			COG0589	Universal stress protein
LNBKKNJO_01626	CDS	345	fdxA_1		COG1146	Ferredoxin
LNBKKNJO_01627	CDS	888			COG0589	Universal stress protein
LNBKKNJO_01628	CDS	447	folE_1	3.5.4.16	COG0302	GTP cyclohydrolase 1
LNBKKNJO_01629	CDS	450				18 kDa heat shock protein
LNBKKNJO_01630	CDS	399				hypothetical protein
LNBKKNJO_01631	CDS	234				hypothetical protein
LNBKKNJO_01632	CDS	474	yjaB	2.3.1.-	COG0454	Peptidyl-lysine N-acetyltransferase YjaB
LNBKKNJO_01633	CDS	1545	mhpA_2	1.14.13.127		3-(3-hydroxy-phenyl)propionate/3-hydroxycinnamic acid hydroxylase
LNBKKNJO_01634	CDS	939				hypothetical protein
LNBKKNJO_01635	CDS	978				hypothetical protein
LNBKKNJO_01636	CDS	687				hypothetical protein
LNBKKNJO_01637	CDS	753			COG0589	Universal stress protein
LNBKKNJO_01638	CDS	1269				hypothetical protein
LNBKKNJO_01639	CDS	783	fabG3_2	1.1.1.53		3-alpha-(or 20-beta)-hydroxysteroid dehydrogenase
LNBKKNJO_01640	CDS	1083			COG2141	putative protein
LNBKKNJO_01641	CDS	525				hypothetical protein
LNBKKNJO_01642	CDS	630				hypothetical protein
LNBKKNJO_01643	CDS	804				Dormancy associated translation inhibitor
LNBKKNJO_01644	CDS	618				hypothetical protein
LNBKKNJO_01645	CDS	399				hypothetical protein
LNBKKNJO_01646	CDS	1245				hypothetical protein
LNBKKNJO_01647	CDS	771				hypothetical protein
LNBKKNJO_01648	CDS	1521	tap_2	3.4.14.-		Tripeptidyl aminopeptidase
LNBKKNJO_01649	CDS	486				hypothetical protein
LNBKKNJO_01650	CDS	1296				hypothetical protein
LNBKKNJO_01651	CDS	687				hypothetical protein
LNBKKNJO_01652	CDS	111				hypothetical protein
LNBKKNJO_01653	CDS	2640				hypothetical protein
LNBKKNJO_01654	CDS	1932				hypothetical protein
LNBKKNJO_01655	CDS	429				hypothetical protein
LNBKKNJO_01656	CDS	1263	hutI_1	3.5.2.7		Imidazolonepropionase
LNBKKNJO_01657	CDS	942		2.1.1.-		Putative S-adenosyl-L-methionine-dependent methyltransferase
LNBKKNJO_01658	CDS	1764	recD_1	3.1.11.5	COG0507	RecBCD enzyme subunit RecD
LNBKKNJO_01659	CDS	3333	recB	3.1.11.5	COG1074	RecBCD enzyme subunit RecB
LNBKKNJO_01660	CDS	3300	recC	3.1.11.5	COG1330	RecBCD enzyme subunit RecC
LNBKKNJO_01661	CDS	516	nox	1.6.99.3	COG0778	NADH dehydrogenase
LNBKKNJO_01662	CDS	477	cynS	4.2.1.104	COG1513	Cyanate hydratase
LNBKKNJO_01663	CDS	324				hypothetical protein
LNBKKNJO_01664	CDS	1296				hypothetical protein
LNBKKNJO_01665	CDS	1215				hypothetical protein
LNBKKNJO_01666	CDS	816	adc	4.1.1.4		acetoacetate decarboxylase
LNBKKNJO_01667	CDS	939	hcaB_1	1.3.1.87		3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase
LNBKKNJO_01668	CDS	474				hypothetical protein
LNBKKNJO_01669	CDS	282				hypothetical protein
LNBKKNJO_01670	CDS	501				hypothetical protein
LNBKKNJO_01671	CDS	1026	ansP1		COG1113	L-asparagine permease 1
LNBKKNJO_01672	CDS	603				hypothetical protein
LNBKKNJO_01673	CDS	708				hypothetical protein
LNBKKNJO_01674	CDS	1047	fni	5.3.3.2	COG1304	Isopentenyl-diphosphate delta-isomerase
LNBKKNJO_01675	CDS	552				hypothetical protein
LNBKKNJO_01676	CDS	2310	mmpL3_1		COG2409	Trehalose monomycolate exporter MmpL3
LNBKKNJO_01677	CDS	375				hypothetical protein
LNBKKNJO_01678	CDS	324				hypothetical protein
LNBKKNJO_01679	CDS	960	crtB	2.5.1.32	COG1562	15-cis-phytoene synthase
LNBKKNJO_01680	CDS	1530	carA2	1.3.99.29	COG1233	zeta-carotene-forming phytoene desaturase
LNBKKNJO_01681	CDS	891		2.5.1.10	COG0142	(2E,6E)-farnesyl diphosphate synthase
LNBKKNJO_01682	CDS	333				hypothetical protein
LNBKKNJO_01683	CDS	291				hypothetical protein
LNBKKNJO_01684	CDS	1389		1.14.13.239		Carnitine monooxygenase oxygenase subunit
LNBKKNJO_01685	CDS	549				hypothetical protein
LNBKKNJO_01686	CDS	210				hypothetical protein
LNBKKNJO_01687	CDS	1020				hypothetical protein
LNBKKNJO_01688	CDS	1167		1.3.99.-	COG1960	Acyl-CoA dehydrogenase fadE12
LNBKKNJO_01689	CDS	1161	thlA_2	2.3.1.9	COG0183	Acetyl-CoA acetyltransferase
LNBKKNJO_01690	CDS	606				hypothetical protein
LNBKKNJO_01691	CDS	348				hypothetical protein
LNBKKNJO_01692	CDS	153				hypothetical protein
LNBKKNJO_01693	CDS	1272		1.14.-.-	COG2124	Cytochrome P450 144
LNBKKNJO_01694	CDS	189				Ferredoxin
LNBKKNJO_01695	CDS	336				hypothetical protein
LNBKKNJO_01696	CDS	411				hypothetical protein
LNBKKNJO_01697	CDS	459				18 kDa heat shock protein
LNBKKNJO_01698	CDS	2559	nasD	1.7.1.4	COG1251	Nitrite reductase [NAD(P)H]
LNBKKNJO_01699	CDS	357	nirD	1.7.1.15	COG2146	Nitrite reductase (NADH) small subunit
LNBKKNJO_01700	CDS	456				hypothetical protein
LNBKKNJO_01701	CDS	762				hypothetical protein
LNBKKNJO_01702	CDS	1152				hypothetical protein
LNBKKNJO_01703	CDS	645	narK_1		COG2223	Nitrate/nitrite transporter NarK
LNBKKNJO_01704	CDS	636	narK_2		COG2223	Nitrate/nitrite transporter NarK
LNBKKNJO_01705	CDS	216				hypothetical protein
LNBKKNJO_01706	CDS	546	aac	2.3.1.-		Aminoglycoside 2'-N-acetyltransferase
LNBKKNJO_01707	CDS	870	pxpC	3.5.2.9	COG1984	5-oxoprolinase subunit C
LNBKKNJO_01708	CDS	672	pxpB	3.5.2.9	COG2049	5-oxoprolinase subunit B
LNBKKNJO_01709	CDS	993				hypothetical protein
LNBKKNJO_01710	CDS	1389	narK_3		COG2223	Nitrate/nitrite transporter NarK
LNBKKNJO_01711	CDS	1263				hypothetical protein
LNBKKNJO_01712	CDS	291				hypothetical protein
LNBKKNJO_01713	CDS	1275	yhfT	6.2.1.-	COG0318	putative acyl--CoA ligase YhfT
LNBKKNJO_01714	CDS	99				hypothetical protein
LNBKKNJO_01715	CDS	774	tgs2_3	2.3.1.20		putative diacyglycerol O-acyltransferase tgs2
LNBKKNJO_01716	CDS	657				hypothetical protein
LNBKKNJO_01717	CDS	2187		1.3.99.-		Acyl-CoA dehydrogenase FadE34
LNBKKNJO_01718	CDS	969	hpr	1.1.1.81	COG1052	Hydroxypyruvate reductase
LNBKKNJO_01719	CDS	1134				hypothetical protein
LNBKKNJO_01720	CDS	609				hypothetical protein
LNBKKNJO_01721	CDS	582				hypothetical protein
LNBKKNJO_01722	CDS	549				hypothetical protein
LNBKKNJO_01723	CDS	693				hypothetical protein
LNBKKNJO_01724	CDS	903			COG3662	putative protein
LNBKKNJO_01725	CDS	270				hypothetical protein
LNBKKNJO_01726	CDS	201				hypothetical protein
LNBKKNJO_01727	CDS	537				hypothetical protein
LNBKKNJO_01728	CDS	798				hypothetical protein
LNBKKNJO_01729	CDS	252				hypothetical protein
LNBKKNJO_01730	CDS	720	COQ5_4	2.1.1.163		2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial
LNBKKNJO_01731	CDS	993		2.3.1.-	COG0454	Acetyltransferase Pat
LNBKKNJO_01732	CDS	537				hypothetical protein
LNBKKNJO_01733	CDS	654				hypothetical protein
LNBKKNJO_01734	CDS	660				hypothetical protein
LNBKKNJO_01735	CDS	1209	arcA	3.5.3.6	COG2235	Arginine deiminase
LNBKKNJO_01736	CDS	1557	pmt	2.4.1.109	COG1928	putative dolichyl-phosphate-mannose--protein mannosyltransferase
LNBKKNJO_01737	CDS	855	rsmI	2.1.1.198	COG0313	Ribosomal RNA small subunit methyltransferase I
LNBKKNJO_01738	CDS	1338				hypothetical protein
LNBKKNJO_01739	CDS	1344	menF_1	5.4.4.2		Isochorismate synthase MenF
LNBKKNJO_01740	CDS	906	sigJ_2			ECF RNA polymerase sigma factor SigJ
LNBKKNJO_01741	CDS	1185	hcaD	1.18.1.3		3-phenylpropionate/cinnamic acid dioxygenase ferredoxin--NAD(+) reductase component
LNBKKNJO_01742	CDS	1659				hypothetical protein
LNBKKNJO_01743	CDS	477				hypothetical protein
LNBKKNJO_01744	CDS	1557	metG	6.1.1.10	COG0143	Methionine--tRNA ligase
LNBKKNJO_01745	CDS	849	tatD	3.1.-.-	COG0084	putative metal-dependent hydrolase TatD
LNBKKNJO_01746	CDS	1089	rpfB	3.-.-.-	COG3583	Resuscitation-promoting factor RpfB
LNBKKNJO_01747	CDS	825	ksgA	2.1.1.182	COG0030	Ribosomal RNA small subunit methyltransferase A
LNBKKNJO_01748	CDS	924	ispE	2.7.1.148	COG1947	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase
LNBKKNJO_01749	CDS	1635		6.2.1.-	COG0318	Putative ligase
LNBKKNJO_01750	CDS	255	choD_2	1.1.3.6	COG2303	Cholesterol oxidase
LNBKKNJO_01751	CDS	897		1.14.11.-	COG2175	Alpha-ketoglutarate-dependent sulfate ester dioxygenase
LNBKKNJO_01752	CDS	510				HTH-type transcriptional repressor
LNBKKNJO_01753	CDS	2385		3.2.1.-	COG1554	putative glycosyl hydrolase
LNBKKNJO_01754	CDS	741			COG0637	putative protein
LNBKKNJO_01755	CDS	396				hypothetical protein
LNBKKNJO_01756	CDS	618				hypothetical protein
LNBKKNJO_01757	CDS	1557	qacA		COG0477	Antiseptic resistance protein
LNBKKNJO_01758	CDS	684				hypothetical protein
LNBKKNJO_01759	CDS	1530	guaA	6.3.5.2	COG0518	GMP synthase [glutamine-hydrolyzing]
LNBKKNJO_01760	CDS	627				hypothetical protein
LNBKKNJO_01761	CDS	660				putative protein
LNBKKNJO_01762	CDS	1530	dinB_1	2.7.7.7		DNA polymerase IV
LNBKKNJO_01763	CDS	951	rihA	3.2.-.-	COG1957	Pyrimidine-specific ribonucleoside hydrolase RihA
LNBKKNJO_01764	CDS	2013				hypothetical protein
LNBKKNJO_01765	CDS	402		5.4.2.12	COG0406	PE-PGRS family protein PE_PGRS11
LNBKKNJO_01766	CDS	285				hypothetical protein
LNBKKNJO_01767	CDS	873				hypothetical protein
LNBKKNJO_01768	CDS	1173	otsB	3.1.3.12	COG0637	Trehalose-phosphate phosphatase
LNBKKNJO_01769	CDS	1161		2.3.1.20		Putative diacyglycerol O-acyltransferase
LNBKKNJO_01770	CDS	3057	dnaE2_1	2.7.7.7	COG0587	Error-prone DNA polymerase
LNBKKNJO_01771	CDS	213	dnaE2_2	2.7.7.7	COG0587	Error-prone DNA polymerase
LNBKKNJO_01772	CDS	411				hypothetical protein
LNBKKNJO_01773	CDS	645				hypothetical protein
LNBKKNJO_01774	CDS	471				hypothetical protein
LNBKKNJO_01775	CDS	306				hypothetical protein
LNBKKNJO_01776	CDS	897				hypothetical protein
LNBKKNJO_01777	CDS	390	rsbS		COG1366	RsbT antagonist protein RsbS
LNBKKNJO_01778	CDS	396	rsbT	2.7.11.1	COG2172	Serine/threonine-protein kinase RsbT
LNBKKNJO_01779	CDS	627				hypothetical protein
LNBKKNJO_01780	CDS	2136				hypothetical protein
LNBKKNJO_01781	CDS	1581				hypothetical protein
LNBKKNJO_01782	CDS	555	yhbO	3.1.2.-	COG0693	Protein/nucleic acid deglycase 2
LNBKKNJO_01783	CDS	1014	selD	2.7.9.3	COG0709	Selenide, water dikinase
LNBKKNJO_01784	tRNA	95				tRNA-SeC(tca)
LNBKKNJO_01785	CDS	1020	selA_1	2.9.1.1	COG1921	L-seryl-tRNA(Sec) selenium transferase
LNBKKNJO_01786	CDS	333	selA_2	2.9.1.1		L-seryl-tRNA(Sec) selenium transferase
LNBKKNJO_01787	CDS	273	selB		COG3276	Selenocysteine-specific elongation factor
LNBKKNJO_01788	CDS	1443	tuf_2			Elongation factor Tu
LNBKKNJO_01789	CDS	1341				hypothetical protein
LNBKKNJO_01790	CDS	651				hypothetical protein
LNBKKNJO_01791	CDS	315				hypothetical protein
LNBKKNJO_01792	CDS	831	fdoG	1.17.1.9	COG0243	Formate dehydrogenase-O major subunit
LNBKKNJO_01793	CDS	747	fdnG	1.17.5.3	COG0243	Formate dehydrogenase, nitrate-inducible, major subunit
LNBKKNJO_01794	CDS	816				hypothetical protein
LNBKKNJO_01795	CDS	891	fdnH		COG0437	Formate dehydrogenase, nitrate-inducible, iron-sulfur subunit
LNBKKNJO_01796	CDS	972				hypothetical protein
LNBKKNJO_01797	CDS	465	yqeY		COG1610	putative protein YqeY
LNBKKNJO_01798	CDS	1200				hypothetical protein
LNBKKNJO_01799	CDS	651				hypothetical protein
LNBKKNJO_01800	CDS	1140				putative membrane protein
LNBKKNJO_01801	CDS	978				hypothetical protein
LNBKKNJO_01802	CDS	1323				hypothetical protein
LNBKKNJO_01803	CDS	993				hypothetical protein
LNBKKNJO_01804	CDS	273				hypothetical protein
LNBKKNJO_01805	CDS	1659	lpqW		COG0747	putative monoacyl phosphatidylinositol tetramannoside-binding protein LpqW
LNBKKNJO_01806	CDS	2202				hypothetical protein
LNBKKNJO_01807	CDS	1131				hypothetical protein
LNBKKNJO_01808	CDS	615				putative HTH-type transcriptional regulator
LNBKKNJO_01809	CDS	906	mshB	3.5.1.103	COG2120	1D-myo-inositol 2-acetamido-2-deoxy-alpha-D-glucopyranoside deacetylase
